seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
389749,99.15,58.39,27.66,88.33,59.47,33.61,4.66,75.91,14.1,22.25,63.04,44.742,4.66,88.33
884974,99.15,32.6,70.91,12.99,18.27,21.32,23.07,88.06,12.97,89.16,9.29,37.864,9.29,89.16
786910,99.15,15.35,59.47,76.46,72.37,84.99,15.5,13.64,60.2,75.7,68.05,54.173,13.64,84.99
263095,99.15,73.12,84.23,11.18,74.15,17.43,93.55,82.87,15.42,39.98,52.74,54.467,11.18,93.55
406640,99.15,40.43,17.29,85.04,73.12,23.34,16.23,64.52,86.44,15.82,13.68,43.591,13.68,86.44
999939,99.15,17.1,37.65,57.98,76.56,30.63,16.8,82.87,10.88,61.14,63.2,45.481,10.88,82.87
29783,99.15,21.12,96.48,35.94,66.56,60.65,68.46,74.45,5.3,29.35,40.8,49.911,5.3,96.48
702006,99.15,13.27,18.45,40.86,13.45,56.65,4.61,46.27,64.78,81.14,20.27,35.975,4.61,81.14
885193,100,80.23,6.61,2.1,34.26,14,84.09,72.09,10.59,57.62,71.54,43.313,2.1,84.09
812614,100,50.95,23.22,91.08,17.43,73.8,28.32,85.57,49.25,13.23,72.71,50.556,13.23,91.08
79727,100,17.26,78.48,21.13,56.65,43.6,14.13,91.4,73.4,93.09,0.7,48.984,0.7,93.09
132991,100,18.42,54.95,84.61,13.04,54.09,60.4,73.12,12.85,74.54,16.32,46.234,12.85,84.61
973521,100,18,40.78,33.79,6.48,11.28,88.64,85.26,74.19,12.83,56.7,42.795,6.48,88.64
528208,100,42.57,3.57,22.31,28.08,55.08,84.89,12.89,62.02,34.54,71.78,41.773,3.57,84.89
318371,100,15.26,29.4,88.96,100,61.13,83.19,87.82,8.83,80.66,51.08,60.633,8.83,100
582464,100,54.89,16.87,82.14,57.41,3.5,9.25,18.45,22.09,12.93,51.08,32.861,3.5,82.14
540046,100,82.07,26.44,50.79,31.02,86.08,67.97,64.39,94.03,67.8,60.87,63.146,26.44,94.03
351076,100,17.96,57.55,80.73,92.03,16.02,75.5,15.12,37.67,16.17,31.27,44.002,15.12,92.03
361069,100,2.68,11.86,29.1,7.58,77.27,44.38,17.4,23.11,17.74,21.36,25.248,2.68,77.27
