seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
925852,99.15,2.49,2.58,7.68,10.11,9.94,8.15,11.47,6.11,5.49,7.47,7.149,2.49,11.47
268721,99.15,10.87,6.48,8.09,0,7.37,8.53,1.32,5.49,10.18,0.5,5.883,0,10.87
299848,99.15,7.2,11.47,4.66,11.48,2.56,8.53,7.88,6.14,0.94,5.96,6.682,0.94,11.48
472007,99.15,3.64,3.03,2.18,1.48,10.45,2.68,10.11,5.38,4.66,5.34,4.895,1.48,10.45
881116,99.15,9.7,7.56,8.53,8.8,11.2,7.85,4.3,6.27,6.28,2.18,7.267,2.18,11.2
43863,99.15,4.46,0,9.03,6.66,11.13,10.17,8.83,3.26,4.82,6.27,6.463,0,11.13
839287,99.15,8.67,6.5,6.38,10.77,9.25,8.82,11.46,10.07,8.08,1.48,8.148,1.48,11.46
921269,99.15,11.6,0.58,1.82,5.14,6.28,6.14,0.8,2.11,5.76,4.25,4.448,0.58,11.6
193382,99.15,7.66,6.86,0,9.62,7.58,5.84,3.82,5.38,4.3,0.53,5.159,0,9.62
530365,100,10.88,2.27,11.68,5.49,3.22,3.86,1.32,5.1,1.05,2.62,4.749,1.05,11.68
236532,100,8.86,4.68,4.8,11.72,11.6,7.85,8.53,6.24,11.13,10.61,8.602,4.68,11.72
663172,100,0,6.69,2.1,10.99,6.14,4.56,3.78,8.26,9.21,3.54,5.527,0,10.99
402062,100,10.99,6.45,1.88,6.97,8.15,0.56,2.68,10.61,9.62,6.28,6.419,0.56,10.99
594508,100,6.11,10.99,0,7.56,0,10.07,5.83,0,7.56,11.47,5.959,0,11.47
687501,100,8.67,6.62,10.08,8.07,5.97,5.96,4.56,11.72,4.94,3.85,7.044,3.85,11.72
